record_id,crop,symptom,diagnosis,image_paths
D00205,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63954.jpg"
D00206,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63955.jpg"
D00207,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63956.jpg"
D00208,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63957.jpg"
D00209,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63958.jpg"
D00210,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63959.jpg"
D00211,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63960.jpg"
D00212,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63961.jpg"
D00213,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63962.jpg"
D00214,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63963.jpg"
D00215,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63964.jpg"
D00216,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63965.jpg"
D00217,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63966.jpg"
D00218,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63967.jpg"
D00219,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63968.jpg"
D00220,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63969.jpg"
D00221,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63970.jpg"
D00222,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63971.jpg"
D00223,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63972.jpg"
D00224,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63973.jpg"
D00225,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63974.jpg"
D00226,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63975.jpg"
D00227,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63976.jpg"
D00228,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63977.jpg"
D00229,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63978.jpg"
D00230,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63979.jpg"
D00231,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63980.jpg"
D00232,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63981.jpg"
D00233,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63982.jpg"
D00234,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63983.jpg"
D00235,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63984.jpg"
D00236,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63985.jpg"
D00237,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63986.jpg"
D00238,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63987.jpg"
D00239,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63988.jpg"
D00240,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63989.jpg"
D00241,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_136290.jpg"
D00242,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_136346.jpg"
D00243,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_136348.jpg"
D00244,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_136369.jpg"
D00245,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_136449.jpg"
D00246,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_136509.jpg"
D00247,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_136609.jpg"
D00248,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_136711.jpg"
D00249,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_136835.jpg"
D00250,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137021.jpg"
D00251,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137022.jpg"
D00252,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137023.jpg"
D00253,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137024.jpg"
D00254,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137025.jpg"
D00255,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137026.jpg"
D00256,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137027.jpg"
D00257,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137028.jpg"
D00258,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137029.jpg"
D00259,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137030.jpg"
D00260,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137031.jpg"
D00261,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137032.jpg"
D00262,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137033.jpg"
D00263,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137034.jpg"
D00264,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137035.jpg"
D00265,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137036.jpg"
D00266,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137037.jpg"
D00267,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137038.jpg"
D00268,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137039.jpg"
D00269,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137040.jpg"
D00270,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137041.jpg"
D00271,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137042.jpg"
D00272,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137043.jpg"
D00273,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137044.jpg"
D00274,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137045.jpg"
D00275,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137046.jpg"
D00276,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137047.jpg"
D00277,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137048.jpg"
D00278,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137049.jpg"
D00279,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137050.jpg"
D00280,Cherry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Cherry,Healthy\plant_137051.jpg"
D00281,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137142.jpg"
D00282,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137143.jpg"
D00283,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137144.jpg"
D00284,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137145.jpg"
D00285,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137146.jpg"
D00286,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137147.jpg"
D00287,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137148.jpg"
D00288,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137149.jpg"
D00289,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137150.jpg"
D00290,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137151.jpg"
D00291,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137152.jpg"
D00292,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137153.jpg"
D00293,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137154.jpg"
D00294,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137155.jpg"
D00295,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137156.jpg"
D00296,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137157.jpg"
D00297,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137158.jpg"
D00298,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137159.jpg"
D00299,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137160.jpg"
D00300,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137161.jpg"
D00301,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137197.jpg"
D00302,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137199.jpg"
D00303,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137247.jpg"
D00304,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137274.jpg"
D00305,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137313.jpg"
D00306,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137435.jpg"
D00307,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137544.jpg"
D00308,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137617.jpg"
D00309,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137693.jpg"
D00310,Cherry,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Cherry,Powdery Mildew\plant_137796.jpg"
D00311,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_138260.jpg"
D00312,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_138287.jpg"
D00313,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_138364.jpg"
D00314,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_138430.jpg"
D00315,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_138555.jpg"
D00316,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_138675.jpg"
D00317,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_138956.jpg"
D00318,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_138961.jpg"
D00319,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_138987.jpg"
D00320,Corn,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Corn,Healthy\plant_139017.jpg"
D00321,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_139395.jpg"
D00322,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_139398.jpg"
D00323,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_139434.jpg"
D00324,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_139537.jpg"
D00325,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_139538.jpg"
D00326,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_139627.jpg"
D00327,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_139639.jpg"
D00328,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_139746.jpg"
D00329,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_140096.jpg"
D00330,Corn,"yellow orange, yellow brown, reddish brown pustules, circular spots",Leaf Rust,"images\Corn,Leaf Rust\plant_140275.jpg"
D00331,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_140573.jpg"
D00332,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_140593.jpg"
D00333,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_140730.jpg"
D00334,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_140824.jpg"
D00335,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_140840.jpg"
D00336,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_140938.jpg"
D00337,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_140972.jpg"
D00338,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_141011.jpg"
D00339,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_141023.jpg"
D00340,Corn,"tan to brown spots,dark brown circular spots",Leaf Spot,"images\Corn,Leaf Spot\plant_141025.jpg"
D00341,Corn,"elongated, dark brown to gray lesions present",Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_141077.jpg"
D00342,Corn,"elongated, light brown spots",Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_141162.jpg"
D00343,Corn,"elongated, dark green to brown lesions",Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_141215.jpg"
D00344,Corn,elongated gray-brown lesions,Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_141320.jpg"
D00345,Corn,"elongated, grayish-brown lesions",Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_141378.jpg"
D00346,Corn,"elongated, water-soaked lesions that are grayish-brown in color",Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_141467.jpg"
D00347,Corn,"several dark brown, elongated lesions",Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_141496.jpg"
D00348,Corn,"elongated, gray-green lesions present",Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_141708.jpg"
D00349,Corn,"elongated, grayish-green lesions",Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_141861.jpg"
D00350,Corn,"elongated, grayish-green lesions",Northern Leaf Blight,"images\Corn,Northern Leaf Blight\plant_142006.jpg"
D00351,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_114746.jpg"
D00352,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_114773.jpg"
D00353,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_114779.jpg"
D00354,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_114844.jpg"
D00355,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_114884.jpg"
D00356,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_114897.jpg"
D00357,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_114962.jpg"
D00358,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_114968.jpg"
D00359,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_115084.jpg"
D00360,Grape,"dark brown to black spots,mostly circular in shape,varying in size",Black Rot,"images\Grape,Black Rot\plant_115153.jpg"
D00361,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_116027.jpg"
D00362,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_116146.jpg"
D00363,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_116209.jpg"
D00364,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_116496.jpg"
D00365,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_116650.jpg"
D00366,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_116841.jpg"
D00367,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_117043.jpg"
D00368,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_117133.jpg"
D00369,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_117179.jpg"
D00370,Grape,"dark brown to black, yellow brown, irregular light brown spots, circular",Esca,"images\Grape,Esca\plant_117188.jpg"
D00371,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117226.jpg"
D00372,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117250.jpg"
D00373,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117285.jpg"
D00374,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117369.jpg"
D00375,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117373.jpg"
D00376,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117377.jpg"
D00377,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117399.jpg"
D00378,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117601.jpg"
D00379,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117624.jpg"
D00380,Grape,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Grape,Healthy\plant_117630.jpg"
D00381,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_117650.jpg"
D00382,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_117674.jpg"
D00383,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_117761.jpg"
D00384,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_117776.jpg"
D00385,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_117813.jpg"
D00386,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_117837.jpg"
D00387,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_117892.jpg"
D00388,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_117897.jpg"
D00389,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_117974.jpg"
D00390,Grape,"brown, dark brown, irregular spots ranging from dark brown to black",Leaf Blight,"images\Grape,Leaf Blight\plant_118060.jpg"
D00391,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1566.jpg"
D00392,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1567.jpg"
D00393,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1568.jpg"
D00394,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1569.jpg"
D00395,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1570.jpg"
D00396,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1571.jpg"
D00397,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1572.jpg"
D00398,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1573.jpg"
D00399,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1574.jpg"
D00400,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1575.jpg"
D00401,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1576.jpg"
D00402,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1577.jpg"
D00403,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1578.jpg"
D00404,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1579.jpg"
D00405,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1580.jpg"
D00406,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1581.jpg"
D00407,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1582.jpg"
D00408,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1583.jpg"
D00409,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1584.jpg"
D00410,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1585.jpg"
D00411,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1608.jpg"
D00412,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1611.jpg"
D00413,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1631.jpg"
D00414,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1682.jpg"
D00415,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1805.jpg"
D00416,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1850.jpg"
D00417,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1922.jpg"
D00418,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_1947.jpg"
D00419,Orange,"leaves mottled, yellowing, distortion, yellow spots, irregular",Citrus Greening,"images\Orange,Citrus Greening\plant_2063.jpg"
